time,vehicle_id,speed,edge,x,y
245.0,90,0.0,B1B2,201.6,364.13481532215735
245.0,91,11.860796747802802,B1A1,132.39823355713665,201.6
245.0,92,0.0,C0C1,401.6,191.798989625217
245.0,93,0.000375625647062742,B0B1,201.6,184.29764242498678
245.0,94,0.0,A1B1,189.26790614884686,198.4
245.0,95,7.783782512723102,A1A2,1.6,388.78275654619375
245.0,96,0.00016627929170478684,A1B1,159.26368302288603,198.4
245.0,97,9.857983980029552,A1B1,135.4632588849675,198.4
245.0,98,14.861089666932614,B1A1,165.68692379178464,201.6
246.0,100,14.548330417143553,C2B2,324.1191453156599,401.6
246.0,101,0.0,C0B0,208.2010614894611,1.6
246.0,102,12.499001803286887,B0B1,201.6,127.9456883340194
246.0,103,0.0,C0C1,401.6,184.29789634026972
246.0,104,0.4925885139802081,C0C1,401.6,176.63973880385697
246.0,105,0.0001279375811809038,B2B1,198.4,223.2030868413129
246.0,107,0.0,C2B2,208.20104530950232,401.6
246.0,108,14.424109954499945,C1C0,398.4,54.442160469491796
246.0,109,12.872549479078927,A2B2,123.9174281281376,398.4
246.0,110,12.847597184924847,C1B1,313.42196904744384,201.6
246.0,111,11.660265774399251,C1C0,398.4,154.0482634655101
246.0,112,0.0,A0B0,191.79896248385134,-1.6
246.0,113,0.00037287312026917723,B1B2,201.6,356.63361560201565
246.0,114,7.246011768585109,A2B2,17.334309247410612,398.4
246.0,115,6.123541639867389,A0B0,182.54647664023778,-1.6
246.0,116,6.495765014961206,:A2_0,-1.350357216462095,398.5474994847653
246.0,117,13.829303050466857,A2A1,-1.6,246.44574723439055
246.0,118,12.978927726057268,C1C2,401.6,330.2099092883227
246.0,119,14.79285404849986,B2A2,87.48247475897506,401.6
246.0,120,12.184154862925821,B1A1,175.5158451370742,201.6
246.0,121,9.496909294191923,B1B2,201.6,234.2663867965802
246.0,122,3.7510169586871007,A1B1,16.051016958687104,198.4
246.0,45,0.0,:B2_5,200.85611111111112,393.91583333333335
246.0,55,13.15241900579404,A1A2,1.6,268.95543162941726
246.0,56,0.0,A1B1,181.76684876133507,198.4
246.0,57,14.015905448125336,C1C0,398.4,81.83246068557638
246.0,58,0.0,B2B1,198.4,215.70203876859554
246.0,60,1.2429130768033594,B1B2,201.6,341.42589128750114
246.0,61,6.901959246336656,B1B2,201.6,328.7564237599079
