time,vehicle_id,road,speed
50,24,B2B1,11.33
50,25,B0B1,12.12
50,3,B2A2,7.14
50,4,A1B1,12.11
50,5,:B1_14,0.09
50,8,A1B1,3.14
50,9,B1B0,10.0
51,0,B0A0,14.56
51,1,A2A1,12.7
51,10,B1B2,8.95
51,11,B1A1,14.21
51,12,B2B1,13.54
51,14,C0B0,13.02
51,15,C1B1,3.8
51,16,B2C2,6.49
51,17,C0C1,5.15
51,18,C1B1,7.32
51,19,C1C0,6.23
51,2,:B2_3,5.78
51,20,B2C2,12.96
51,21,A2A1,12.81
51,22,A0B0,12.28
51,23,A1A0,11.25
51,24,B2B1,11.33
51,25,B0B1,11.25
51,3,:A2_0,6.18
51,4,A1B1,14.02
51,5,:B1_14,0.05
51,8,A1B1,0.26
51,9,B1B0,11.35
52,0,B0A0,13.54
52,1,A2A1,12.94
52,10,B1B2,10.38
52,11,B1A1,13.58
52,12,B2B1,13.89
52,14,C0B0,13.31
52,15,:B1_19,2.61
52,16,B2C2,8.37
52,17,C0C1,7.09
52,18,C1B1,5.96
52,19,C0B0,3.53
52,2,:B2_3,5.67
52,20,B2C2,13.51
52,21,A2A1,12.14
52,22,A0B0,12.7
52,23,A1A0,11.88
52,24,B2B1,10.92
52,25,B0B1,11.82
52,26,A2B2,12.74
52,3,A2A1,5.36
52,4,A1B1,13.3
52,5,:B1_14,0.02
52,8,A1B1,0.18
52,9,B1B0,11.48
53,0,B0A0,13.54
53,1,A2A1,12.09
53,10,B1B2,12.23
53,11,B1A1,10.86
53,12,B2B1,14.26
53,14,C0B0,12.53
53,15,B1C1,3.06
53,16,B2C2,10.79
53,17,C0C1,9.52
53,18,C1B1,3.12
53,19,C0B0,5.39
53,2,B2C2,5.31
53,20,B2C2,12.04
53,21,A2A1,13.61
53,22,A0B0,13.07
53,23,A1A0,11.85
53,24,B2B1,11.24
53,25,B0B1,11.79
53,26,A2B2,11.61
53,3,A2A1,7.68
53,4,A1B1,13.31
53,5,:B1_14,0.01
53,8,A1B1,0.05
53,9,B1B0,11.86
54,0,B0A0,13.62
54,1,A2A1,12.58
54,10,B1B2,14.51
54,11,:A1_3,6.36
54,12,B2B1,9.76
54,14,C0B0,13.57
54,15,B1C1,4.52
54,16,B2C2,11.96
54,17,C0C1,11.31
54,18,C1B1,4.2
54,19,C0B0,7.14
54,2,B2C2,6.81
54,20,B2C2,7.54
54,21,A2A1,12.46
54,22,A0B0,12.26
54,23,A1A0,11.78
54,24,B2B1,10.43
54,25,B0B1,11.01
54,26,A2B2,12.66
54,27,B2B1,10.1
54,3,A2A1,9.46
54,4,A1B1,13.66
54,5,:B1_14,0.0
54,8,A1B1,0.01
54,9,B1B0,11.13
55,0,B0A0,14.59
55,1,A2A1,12.26
55,10,B1B2,14.14
55,11,A1A2,6.57
55,12,B2B1,6.4
55,14,C0B0,12.56
55,15,B1C1,6.94
55,16,B2C2,11.46
55,17,C0C1,12.29
55,18,:B1_4,4.26
55,19,C0B0,9.43
55,2,B2C2,9.27
55,20,B2C2,3.37
55,21,A2A1,12.68
55,22,A0B0,12.49
55,23,A1A0,11.56
55,24,B2B1,10.67
55,25,B0B1,11.17
55,26,A2B2,12.14
55,27,B2B1,12.21
55,3,A2A1,11.18
55,4,A1B1,13.23
55,5,:B1_14,0.0
55,8,A1B1,0.01
55,9,B1B0,11.82
56,0,B0A0,13.96
56,10,B1B2,14.78
56,11,A1A2,9.1
56,12,B2B1,2.52
56,14,C0B0,13.43
56,15,B1C1,8.72
56,16,B2C2,11.1
56,17,C0C1,12.37
56,18,:B1_4,5.86
56,19,C0B0,10.97
56,2,B2C2,11.44
56,20,:C2_1,3.63
56,21,A2A1,12.28
56,22,A0B0,12.39
56,23,A1A0,11.11
56,24,B2B1,10.54
56,25,B0B1,11.32
56,26,A2B2,12.42
56,27,B2B1,13.0
56,28,A1B1,7.06
56,3,A2A1,13.11
56,4,A1B1,14.11
56,5,:B1_14,0.0
56,8,A1B1,0.0
56,9,B1B0,11.07
57,0,B0A0,14.72
57,10,B1B2,14.25
57,11,A1A2,10.72
57,12,B2B1,0.49
57,14,C0B0,13.54
57,15,B1C1,11.14
57,16,B2C2,11.74
57,17,C0C1,12.98
57,18,B1B2,5.7
57,19,C0B0,12.85
